Index,EmployerName,JobTitle,CaseStatus,NewChgEmp,WageInfo,DecisionDate,StartDate,WorkSite,MoreInfo,College,Citizenship
420,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SAP DATA & ANALYTICS",Certified,,112000.00/Year,2018-05-23,,"Charlotte,NC",https://h1bsalary.online//extended_perm_data.php?PermID=2343557,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELGAUM",INDIA
315,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SALESFORCE TECHNOLOGY",Certified,,124946.00/Year,2018-05-21,,"Dallas,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2366879,THE WEST BENGAL UNIVERSITY OF TECHNOLOGY,INDIA
196,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, RISK AND REGULATORY",Certified,,138000.00/Year,2018-05-15,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2357986,EMORY UNIVERSITY,INDIA
289,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"MANAGER, SAP OPERATIONS",Certified,,127878.00/Year,2018-05-10,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2311844,THE OHIO STATE UNIVERSITY,INDIA
413,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, GUIDEWIRE TECHNOLOGY",Certified-Expired,,112528.00/Year,2018-05-09,,"Dallas,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2339730,VISVESWARAIAH TECHNOLOGICAL UNIVERSITY,INDIA
472,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, GUIDEWIRE TECHNOLOGY",Certified,,105000.00/Year,2018-05-07,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2359560,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELGAUM",INDIA
444,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, GUIDEWIRE TECHNOLOGY",Certified-Expired,,109075.00/Year,2018-05-02,,"Boston,MA",https://h1bsalary.online//extended_perm_data.php?PermID=2331967,"VISVESWARAIAH TECHNOLOGICAL UNIVERSITY, BELGAUM",INDIA
412,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DATA & ANALYTICS",Certified,,112528.00/Year,2018-05-01,,"Dallas,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2345337,UTTAR PRADESH TECHNICAL UNIVERSITY,INDIA
15,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY DIRECTOR, CYBERSECURITY AND PRIVACY",Certified-Expired,,198000.00/Year,2018-05-01,,"Boston,MA",https://h1bsalary.online//extended_perm_data.php?PermID=2336029,N/A,INDIA
411,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SAP SUPPLY CHAIN MANAGEMENT",Certified,,113000.00/Year,2018-04-30,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2359637,"MAHARSHI DAYANAND UNIVERSITY, ROHTAK",INDIA
445,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, INFORMATION MANAGEMENT",Certified-Expired,,109075.00/Year,2018-04-26,,"Boston,MA",https://h1bsalary.online//extended_perm_data.php?PermID=2330141,VISVESWARAIAH TECHNOLOGICAL UNIVERSITY,INDIA
83,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,SALESFORCE.COM MANAGER,Certified,,155000.00/Year,2018-04-20,,"Denver,CO",https://h1bsalary.online//extended_perm_data.php?PermID=2305478,ROTTERDAM UNIVERSITY OF APPLIED SCIENCES,NETHERLANDS
195,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DIGITAL STRATEGY",Denied,,138000.00/Year,2018-04-20,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2384051,CARNEGIE MELLON UNIVERSITY,INDIA
219,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MGR, TECH, MEDIA AND TELECOM",Certified,,136323.00/Year,2018-04-19,,"San Jose,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2346798,UNIVERSITY OF PENNSYLVANIA,INDIA
68,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, FINANCIAL CRIMES TECHNOLOGY",Certified-Expired,,158000.00/Year,2018-04-19,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2341092,UNIVERSITY OF MADRAS,INDIA
376,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, ORACLE",Certified-Expired,,116147.00/Year,2018-04-19,,"Atlanta,GA",https://h1bsalary.online//extended_perm_data.php?PermID=2326743,MADURAI KAMARAJ UNIVERSITY,INDIA
322,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, APPLICATION TECHNOLOGY",Certified,,123594.00/Year,2018-04-19,,"Florham Park,NJ",https://h1bsalary.online//extended_perm_data.php?PermID=2347725,N/A,INDIA
365,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CYBERSECURITY AND PRIVACY",Certified,,117499.00/Year,2018-04-19,,"Seattle,WA",https://h1bsalary.online//extended_perm_data.php?PermID=2395218,TEXAS A&M UNIVERSITY,INDIA
30,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY DIRECTOR, MANAGEMENT CONSULTING",Certified,,175000.00/Year,2018-04-13,,"Dallas,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2344176,THE UNIVERSITY OF TEXAS AT AUSTIN,INDIA
47,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, BUSINESS APPLICATIONS",Certified-Expired,,167000.00/Year,2018-04-12,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2325897,CARNEGIE MELLON UNIVERSITY,INDIA
